iter	Passed	Remaining
0	4	863
1	8	857
2	11	787
3	18	922
4	22	882
5	26	844
6	30	852
7	36	873
8	40	848
9	44	838
10	50	867
11	54	854
12	58	836
13	64	859
14	69	856
15	74	851
16	81	876
17	85	863
18	89	851
19	94	854
20	99	849
21	104	844
22	108	837
23	114	841
24	118	830
25	122	819
26	137	878
27	142	873
28	147	871
29	151	858
30	155	847
31	162	850
32	166	841
33	170	830
34	176	833
35	181	828
36	185	818
37	190	813
38	195	806
39	199	797
40	203	788
41	207	781
42	213	779
43	218	774
44	226	779
45	230	773
46	236	769
47	242	767
48	247	761
49	251	753
50	258	753
51	261	745
52	265	737
53	273	738
54	277	731
55	281	722
56	286	717
57	290	710
58	294	703
59	298	695
60	302	690
61	307	684
62	312	678
63	316	673
64	322	670
65	326	663
66	330	656
67	338	657
68	342	650
69	346	643
70	353	642
71	358	636
72	361	629
73	367	625
74	372	620
75	376	615
76	381	609
77	386	603
78	390	597
79	394	591
80	399	587
81	404	581
82	408	575
83	412	570
84	418	566
85	423	561
86	428	557
87	436	554
88	441	550
89	449	548
90	454	544
91	459	539
92	467	537
93	471	531
94	475	525
95	480	520
96	484	514
97	488	508
98	492	502
99	497	497
100	501	491
101	505	486
102	511	481
103	516	476
104	521	471
105	527	467
106	533	463
107	537	457
108	542	452
109	547	447
110	551	442
111	555	436
112	562	433
113	566	427
114	570	422
115	574	416
116	578	410
117	584	406
118	589	401
119	595	396
120	601	392
121	607	388
122	613	383
123	621	381
124	627	376
125	634	372
126	640	368
127	647	364
128	655	360
129	660	355
130	666	351
131	671	345
132	676	340
133	682	336
134	687	330
135	692	325
136	701	322
137	706	317
138	715	313
139	722	309
140	730	305
141	735	300
142	740	295
143	750	291
144	754	286
145	761	281
146	767	276
147	772	271
148	779	266
149	784	261
150	790	256
151	797	251
152	801	246
153	806	240
154	812	235
155	817	230
156	823	225
157	830	220
158	835	215
159	843	210
160	848	205
161	855	200
162	862	195
163	866	190
164	871	184
165	877	179
166	882	174
167	887	169
168	894	163
169	897	158
170	902	153
171	909	148
172	913	142
173	918	137
174	923	131
175	928	126
176	933	121
177	940	116
178	943	110
179	947	105
180	953	100
181	957	94
182	961	89
183	966	84
184	972	78
185	976	73
186	981	68
187	987	63
188	992	57
189	996	52
190	1004	47
191	1008	42
192	1013	36
193	1018	31
194	1022	26
195	1028	20
196	1035	15
197	1040	10
198	1045	5
199	1051	0
